iter	RMSE
0	0.8072846575
1	0.7965140033
2	0.7870735271
3	0.7766545703
4	0.7672053377
5	0.7594802824
6	0.7508036911
7	0.7421178768
8	0.7349872535
9	0.728491839
10	0.7224144286
11	0.7154655342
12	0.7092245895
13	0.7028240076
14	0.6967122736
15	0.6916172004
16	0.6871754649
17	0.6825619288
18	0.6776718323
19	0.6734750464
20	0.6692713643
21	0.6652730231
22	0.6621607783
23	0.6589237066
24	0.6554020939
25	0.6517924273
26	0.6489712722
27	0.6459988457
28	0.6432947257
29	0.6403976835
30	0.6376917057
31	0.6349803167
32	0.6327189965
33	0.6301681267
34	0.6280254908
35	0.6259200418
36	0.6239848404
37	0.6216355769
38	0.6197462336
39	0.6180149791
40	0.6156931858
41	0.6139230376
42	0.6119388242
43	0.6101265256
44	0.6082133438
45	0.6069769397
46	0.6047123388
47	0.6035043325
48	0.6020569954
49	0.6006530228
50	0.5993817462
51	0.5981196529
52	0.5970083448
53	0.5951509253
54	0.5938850806
55	0.592344738
56	0.5911123728
57	0.5898566928
58	0.5886995952
59	0.587786711
60	0.5863988746
61	0.5853497003
62	0.583817765
63	0.5829445006
64	0.5818300557
65	0.5806476314
66	0.5794885215
67	0.5780916781
68	0.5774369018
69	0.5767374897
70	0.5752229912
71	0.5745301455
72	0.5738874235
73	0.5733387618
74	0.5724119438
75	0.5716006006
76	0.5710749329
77	0.570418545
78	0.5694560183
79	0.568971828
80	0.5685535208
81	0.5681017781
82	0.5672204638
83	0.5667707796
84	0.5660001695
85	0.5655898322
86	0.5649189702
87	0.5639474294
88	0.5635459247
89	0.5630330333
90	0.5619634547
91	0.5613023488
92	0.5600349851
93	0.5591267095
94	0.5586242482
95	0.5577254115
96	0.557136449
97	0.5567036729
98	0.5554581823
99	0.5547203497
100	0.5539557446
101	0.5533165355
102	0.5527166571
103	0.5521742718
104	0.5513114262
105	0.5510835709
106	0.5504972234
107	0.5498620985
108	0.5493033978
109	0.5489648629
110	0.5483297927
111	0.5478765834
112	0.5469305465
113	0.5464108658
114	0.5457511789
115	0.5447975781
116	0.5442790336
117	0.5435674305
118	0.542885674
119	0.5421012128
120	0.5413560492
121	0.5401362617
122	0.5393510417
123	0.5388177566
124	0.5379722245
125	0.5373120388
126	0.5366556591
127	0.5359871265
128	0.535576975
129	0.5350208102
130	0.5344728448
131	0.5341652548
132	0.5337431322
133	0.5329706461
134	0.5324941626
135	0.5320698863
136	0.5310969096
137	0.5307091318
138	0.5304638346
139	0.5298039651
140	0.5291608655
141	0.5286233847
142	0.5280663474
143	0.5273720067
144	0.5268942436
145	0.5262436851
146	0.5258074801
147	0.5252972204
148	0.5250756897
149	0.5245609483
150	0.523938725
151	0.5234872458
152	0.5232865902
153	0.5225772302
154	0.521755039
155	0.5211023063
156	0.5206907075
157	0.5198156944
158	0.5194950992
159	0.5192351625
160	0.5179220126
161	0.517369496
162	0.5167707482
163	0.5161867612
164	0.515683625
165	0.5151090962
166	0.5148225443
167	0.5147257095
168	0.5141337444
169	0.5135045222
170	0.5130971414
171	0.5124943561
172	0.5116526576
173	0.5112118819
174	0.5110056641
175	0.5106514013
176	0.5102427965
177	0.5097882525
178	0.5095506111
179	0.5093310231
180	0.5086543914
181	0.5082688689
182	0.5074350179
183	0.5073376949
184	0.5064445501
185	0.5060951415
186	0.5052602118
187	0.5047071971
188	0.5040410448
189	0.5038270914
190	0.5033593917
191	0.5025503796
192	0.5023331829
193	0.5016244019
194	0.5009790373
195	0.500400111
196	0.4996000849
197	0.4988653848
198	0.4982651757
199	0.4978763342
200	0.4974824042
201	0.4970850021
202	0.4963656024
203	0.4960277695
204	0.4955523609
205	0.4953064606
206	0.4948971478
207	0.4946569592
208	0.4944395773
209	0.4941013733
210	0.4934936972
211	0.4929560119
212	0.4924605132
213	0.491911297
214	0.4906443981
215	0.490044523
216	0.489571044
217	0.4889075466
218	0.4877521213
219	0.486761867
220	0.4860773493
221	0.4856166408
222	0.4847984606
223	0.4847502175
224	0.4843404133
225	0.4839987376
226	0.4832804942
227	0.4828955862
228	0.481955487
229	0.4814327737
230	0.4806425314
231	0.4803650602
232	0.4800261269
233	0.4797027322
234	0.4790663831
235	0.4787356241
236	0.4780965243
237	0.477395657
238	0.4769978014
239	0.4767909676
240	0.4756653074
241	0.4754450796
242	0.4749154894
243	0.4748075845
244	0.4740060064
245	0.4733894262
246	0.4728786258
247	0.4720409256
248	0.4710427386
249	0.4701170025
250	0.4694129806
251	0.4686149008
252	0.4676185426
253	0.4668663015
254	0.4664786188
255	0.4663779355
256	0.465902142
257	0.4651898828
258	0.4643818672
259	0.4639675747
260	0.4631242327
261	0.4623154584
262	0.4620354203
263	0.4612108348
264	0.4600898102
265	0.4597435298
266	0.4592691077
267	0.4585754314
268	0.4582750522
269	0.4576115435
270	0.4573447837
271	0.4565809918
272	0.455864609
273	0.4547557051
274	0.4544069564
275	0.4540269186
276	0.453182737
277	0.4525502792
278	0.4522047626
279	0.451796263
280	0.451707367
281	0.4510538809
282	0.4499036061
283	0.4489198694
284	0.4478729865
285	0.4472441761
286	0.4463757197
287	0.4457834771
288	0.4454480574
289	0.4449874037
290	0.4444900661
291	0.4440734121
292	0.4436321223
293	0.4429687841
294	0.4425177363
295	0.4419912811
296	0.4416987411
297	0.4411342712
298	0.4407342908
299	0.4397145327
300	0.4392730855
301	0.4387242767
302	0.4383254208
303	0.4376615785
304	0.4372763533
305	0.4370142385
306	0.4366910382
307	0.4362131595
308	0.4361324485
309	0.4353186341
310	0.4345793021
311	0.4343976429
312	0.4336789955
313	0.4333689008
314	0.4325490668
315	0.4321977059
316	0.4320557044
317	0.4313717094
318	0.4308737151
319	0.4304271702
320	0.4300045383
321	0.4291595131
322	0.4287139981
323	0.4282017743
324	0.4279365304
325	0.4274469937
326	0.4269821022
327	0.4259840256
328	0.4254900158
329	0.4251344764
330	0.4244507231
331	0.423780179
332	0.4236005605
333	0.4233009061
334	0.423196629
335	0.42296071
336	0.4226592267
337	0.4224729967
338	0.4219707422
339	0.4214357558
340	0.4212804177
341	0.4204501163
342	0.4201826777
343	0.4195199068
344	0.4190125907
345	0.4179310333
346	0.4176696263
347	0.4171559426
348	0.4167182073
349	0.4157750676
350	0.4153863157
351	0.4144321038
352	0.4138442372
353	0.4133708789
354	0.4129586577
355	0.4124969141
356	0.4118412285
357	0.4113787788
358	0.4104368116
359	0.4102081536
360	0.4097127518
361	0.4094707165
