iter	Passed	Remaining
0	133	133043
1	135	67775
2	138	46001
3	141	35110
4	143	28588
5	147	24426
6	150	21298
7	152	18955
8	155	17100
9	157	15640
10	161	14512
11	164	13521
12	166	12672
13	169	11970
14	172	11350
15	175	10799
16	178	10343
17	181	9899
18	183	9498
19	187	9165
20	189	8844
21	193	8596
22	196	8327
23	198	8080
24	201	7854
25	203	7639
26	206	7445
27	209	7287
28	212	7118
29	215	6962
30	217	6813
31	220	6679
32	224	6568
33	226	6443
34	229	6326
35	232	6213
36	234	6106
37	237	6009
38	240	5937
39	243	5846
40	245	5752
41	248	5672
42	251	5593
43	255	5540
44	257	5468
45	260	5400
46	263	5335
47	265	5271
48	268	5208
49	271	5157
50	274	5102
51	277	5052
52	279	4993
53	282	4943
54	285	4902
55	288	4862
56	291	4814
57	293	4770
58	296	4728
59	299	4687
60	302	4657
61	305	4620
62	308	4587
63	311	4552
64	314	4521
65	317	4496
66	320	4468
67	323	4437
68	326	4410
69	329	4381
70	333	4367
71	337	4351
72	340	4323
73	343	4296
74	346	4273
75	350	4257
76	353	4231
77	356	4209
78	359	4185
79	361	4162
80	365	4145
81	368	4123
82	371	4104
83	374	4081
84	377	4059
85	380	4047
86	383	4027
87	386	4007
88	389	3986
89	392	3967
90	396	3958
91	399	3938
92	401	3918
93	404	3899
94	407	3881
95	410	3867
96	413	3850
97	416	3834
98	419	3816
99	422	3799
100	425	3787
101	428	3775
102	431	3761
103	435	3749
104	438	3737
105	442	3733
106	445	3718
107	448	3701
108	451	3690
109	454	3675
110	457	3665
111	460	3653
112	463	3640
113	466	3629
114	470	3618
115	473	3611
116	477	3600
117	480	3587
118	482	3573
119	485	3561
120	489	3553
121	492	3540
122	495	3529
123	498	3518
124	500	3505
125	504	3496
126	507	3485
127	510	3474
128	513	3465
129	516	3455
130	520	3449
131	522	3438
132	525	3427
133	528	3416
134	531	3405
135	535	3399
136	537	3388
137	540	3378
138	543	3368
139	546	3359
140	550	3352
141	553	3344
142	556	3336
143	559	3325
144	562	3315
145	565	3309
146	568	3299
147	571	3290
148	574	3279
149	577	3270
150	581	3267
151	583	3257
152	586	3249
153	589	3240
154	593	3233
155	596	3228
156	599	3219
157	602	3210
158	605	3201
159	607	3191
160	611	3187
161	614	3179
162	617	3173
163	620	3165
164	623	3157
165	627	3153
166	630	3144
167	632	3134
168	635	3126
169	638	3116
170	641	3110
171	644	3103
172	647	3096
173	650	3088
174	653	3082
175	657	3075
176	659	3068
177	662	3061
178	665	3054
179	669	3051
180	672	3044
181	675	3037
182	678	3029
183	681	3022
184	685	3019
185	688	3011
186	691	3005
187	694	2998
188	696	2990
189	700	2987
190	703	2981
191	706	2974
192	709	2966
193	712	2960
194	715	2955
195	719	2949
196	721	2942
197	724	2935
198	727	2928
199	730	2921
200	734	2919
201	737	2914
202	740	2907
203	743	2900
204	747	2898
205	750	2892
206	753	2886
207	756	2880
208	759	2872
209	762	2868
210	765	2862
211	768	2856
212	771	2849
213	774	2843
214	777	2840
215	780	2834
216	783	2827
217	786	2820
218	789	2814
219	792	2810
220	796	2806
221	799	2800
222	802	2795
223	805	2788
224	808	2785
225	812	2780
226	814	2775
227	817	2769
228	820	2762
229	823	2757
230	826	2752
231	829	2746
232	832	2740
233	835	2734
234	838	2729
235	842	2727
236	845	2722
237	848	2716
238	851	2711
239	854	2706
240	858	2703
241	862	2700
242	865	2697
243	868	2692
244	873	2690
245	875	2684
246	878	2678
247	881	2673
248	884	2667
249	888	2664
250	891	2659
251	894	2655
252	897	2650
253	900	2645
254	904	2642
255	907	2636
256	909	2630
257	912	2624
258	915	2619
259	919	2615
260	922	2610
261	924	2604
262	927	2599
263	930	2594
264	934	2592
265	938	2588
266	941	2584
267	944	2580
268	948	2577
269	952	2574
270	955	2569
271	958	2566
272	962	2563
273	966	2560
274	971	2561
275	974	2557
276	978	2553
277	981	2550
278	984	2545
279	988	2541
280	991	2537
281	995	2534
282	998	2529
283	1001	2525
284	1005	2521
285	1008	2517
286	1012	2514
287	1014	2509
288	1017	2504
289	1020	2499
290	1024	2495
291	1027	2492
292	1031	2488
293	1034	2484
294	1037	2480
295	1041	2477
296	1044	2473
297	1047	2468
298	1051	2464
299	1054	2460
300	1058	2457
301	1061	2453
302	1064	2449
303	1067	2444
304	1070	2439
305	1074	2436
306	1077	2431
307	1079	2426
308	1082	2421
309	1085	2416
310	1089	2412
311	1091	2407
312	1094	2402
313	1097	2398
314	1100	2393
315	1103	2388
316	1106	2384
317	1109	2379
318	1112	2375
319	1115	2370
320	1118	2365
321	1122	2362
322	1125	2358
323	1128	2354
324	1131	2349
325	1134	2344
326	1137	2340
327	1140	2335
328	1142	2331
329	1145	2326
330	1148	2321
331	1152	2318
332	1155	2313
333	1158	2309
334	1161	2304
335	1164	2300
336	1167	2297
337	1170	2292
338	1173	2288
339	1176	2283
340	1179	2279
341	1182	2275
342	1185	2270
343	1188	2266
344	1191	2262
345	1194	2258
346	1197	2254
347	1201	2250
348	1204	2246
349	1207	2242
350	1210	2238
351	1214	2235
352	1217	2230
353	1220	2226
354	1223	2222
355	1226	2217
356	1229	2214
357	1232	2210
358	1235	2206
359	1238	2201
360	1241	2197
361	1244	2193
362	1248	2190
363	1251	2186
364	1254	2183
365	1258	2180
366	1262	2177
367	1265	2172
368	1268	2168
369	1271	2164
370	1274	2160
371	1277	2156
372	1280	2152
373	1283	2148
374	1286	2144
375	1289	2140
376	1293	2137
377	1296	2133
378	1299	2129
379	1302	2125
380	1306	2121
381	1309	2118
382	1312	2114
383	1315	2109
384	1317	2105
385	1320	2100
386	1324	2097
387	1327	2093
388	1330	2089
389	1333	2085
390	1336	2081
391	1339	2078
392	1343	2074
393	1346	2071
394	1349	2067
395	1353	2063
396	1356	2060
397	1360	2057
398	1363	2053
399	1366	2049
400	1370	2047
401	1373	2043
402	1377	2041
403	1381	2037
404	1384	2034
405	1390	2034
406	1393	2030
407	1397	2027
408	1403	2027
409	1407	2025
410	1410	2021
411	1413	2017
412	1418	2015
413	1422	2013
414	1425	2009
415	1429	2006
416	1433	2003
417	1437	2001
418	1441	1999
419	1444	1995
420	1449	1993
421	1454	1992
422	1458	1988
423	1461	1984
424	1468	1987
425	1472	1983
426	1475	1979
427	1478	1975
428	1483	1975
429	1487	1971
430	1490	1968
431	1495	1966
432	1499	1963
433	1502	1959
434	1504	1954
435	1507	1950
436	1511	1947
437	1515	1944
438	1518	1940
439	1520	1935
440	1523	1930
441	1527	1928
442	1530	1924
443	1533	1920
444	1535	1915
445	1538	1910
446	1542	1907
447	1545	1904
448	1548	1900
449	1551	1895
450	1553	1891
451	1557	1887
452	1559	1883
453	1562	1879
454	1565	1874
455	1567	1870
456	1570	1866
457	1574	1862
458	1576	1858
459	1579	1853
460	1581	1849
461	1584	1844
462	1586	1840
463	1590	1836
464	1592	1832
465	1595	1828
466	1598	1824
467	1601	1819
468	1604	1816
469	1606	1811
470	1609	1807
471	1611	1803
472	1614	1798
473	1617	1794
474	1620	1791
475	1622	1786
476	1625	1782
477	1627	1777
478	1630	1773
479	1632	1769
480	1636	1765
481	1639	1761
482	1642	1757
483	1645	1753
484	1648	1750
485	1651	1746
486	1653	1742
487	1656	1738
488	1659	1733
489	1661	1729
490	1664	1725
491	1667	1721
492	1669	1717
493	1673	1713
494	1675	1709
495	1677	1704
496	1680	1700
497	1683	1697
498	1686	1692
499	1688	1688
500	1691	1684
501	1693	1679
502	1696	1675
503	1699	1672
504	1701	1667
505	1703	1663
506	1706	1659
507	1709	1655
508	1711	1651
509	1714	1647
510	1716	1642
511	1719	1638
512	1721	1634
513	1723	1630
514	1726	1625
515	1728	1621
516	1731	1617
517	1733	1613
518	1736	1609
519	1738	1605
520	1741	1600
521	1743	1596
522	1746	1592
523	1748	1588
524	1751	1584
525	1754	1580
526	1756	1576
527	1758	1572
528	1763	1570
529	1766	1566
530	1769	1562
531	1771	1558
532	1773	1554
533	1776	1550
534	1782	1548
535	1785	1545
536	1787	1541
537	1792	1539
538	1796	1536
539	1799	1533
540	1803	1529
541	1806	1526
542	1810	1523
543	1813	1519
544	1815	1516
545	1818	1512
546	1821	1508
547	1826	1506
548	1829	1502
549	1832	1499
550	1834	1495
551	1838	1491
552	1843	1489
553	1845	1486
554	1848	1482
555	1851	1478
556	1855	1475
557	1859	1473
558	1862	1469
559	1865	1465
560	1869	1462
561	1874	1460
562	1948	1512
563	1951	1508
564	1954	1504
565	1957	1501
566	1960	1497
567	1964	1494
568	1970	1492
569	1973	1488
570	1977	1485
571	1980	1482
572	1984	1478
573	1987	1474
574	1989	1470
575	1992	1466
576	1994	1462
577	1997	1458
578	2000	1454
579	2003	1450
580	2006	1446
581	2008	1442
582	2011	1438
583	2014	1434
584	2017	1430
585	2019	1426
586	2022	1422
587	2024	1418
588	2027	1414
589	2030	1411
590	2033	1407
591	2035	1403
592	2039	1399
593	2042	1396
594	2046	1392
595	2048	1388
596	2052	1385
597	2055	1381
598	2058	1378
599	2062	1374
600	2065	1371
601	2068	1367
602	2071	1363
603	2074	1360
604	2080	1358
605	2084	1355
606	2087	1351
607	2091	1348
608	2094	1344
609	2099	1342
610	2102	1338
611	2105	1335
612	2110	1332
613	2114	1329
614	2119	1326
615	2122	1323
616	2128	1320
617	2132	1318
618	2135	1314
619	2139	1311
620	2144	1309
621	2148	1305
622	2151	1302
623	2155	1298
624	2161	1296
625	2164	1293
626	2167	1289
627	2173	1287
628	2178	1284
629	2181	1281
630	2184	1277
631	2190	1275
632	2193	1271
633	2196	1267
634	2199	1264
635	2203	1260
636	2207	1257
637	2210	1254
638	2212	1250
639	2216	1246
640	2222	1244
641	2225	1241
642	2229	1237
643	2232	1233
644	2236	1230
645	2239	1227
646	2242	1223
647	2246	1220
648	2250	1217
649	2253	1213
650	2256	1209
651	2259	1205
652	2262	1202
653	2265	1198
654	2268	1194
655	2271	1191
656	2274	1187
657	2278	1184
658	2282	1180
659	2285	1177
660	2288	1173
661	2291	1169
662	2294	1166
663	2297	1162
664	2300	1158
665	2303	1155
666	2306	1151
667	2308	1147
668	2312	1144
669	2315	1140
670	2318	1136
671	2321	1132
672	2324	1129
673	2327	1125
674	2330	1122
675	2333	1118
676	2336	1114
677	2339	1111
678	2343	1107
679	2346	1104
680	2349	1100
681	2353	1097
682	2356	1093
683	2359	1090
684	2362	1086
685	2366	1083
686	2369	1079
687	2372	1075
688	2375	1072
689	2378	1068
690	2381	1065
691	2384	1061
692	2387	1057
693	2391	1054
694	2394	1050
695	2397	1047
696	2400	1043
697	2403	1039
698	2407	1036
699	2411	1033
700	2414	1029
701	2416	1026
702	2420	1022
703	2423	1019
704	2426	1015
705	2429	1011
706	2432	1008
707	2436	1004
708	2440	1001
709	2443	997
710	2446	994
711	2449	990
712	2452	987
713	2456	983
714	2460	980
715	2463	977
716	2468	974
717	2472	970
718	2475	967
719	2478	963
720	2482	960
721	2485	957
722	2489	953
723	2491	949
724	2494	946
725	2498	942
726	2501	939
727	2505	936
728	2508	932
729	2511	928
730	2514	925
731	2517	921
732	2521	918
733	2523	914
734	2527	911
735	2530	907
736	2534	904
737	2537	900
738	2540	897
739	2543	893
740	2548	890
741	2551	887
742	2555	883
743	2558	880
744	2562	877
745	2566	873
746	2569	870
747	2572	866
748	2575	862
749	2579	859
750	2584	856
751	2588	853
752	2593	850
753	2598	847
754	2603	844
755	2608	841
756	2613	838
757	2617	835
758	2621	832
759	2626	829
760	2630	826
761	2634	822
762	2638	819
763	2642	816
764	2647	813
765	2651	809
766	2656	806
767	2660	803
768	2664	800
769	2668	797
770	2673	793
771	2677	790
772	2681	787
773	2685	784
774	2689	780
775	2693	777
776	2698	774
777	2702	771
778	2706	767
779	2710	764
780	2714	761
781	2718	757
782	2723	754
783	2727	751
784	2731	748
785	2736	744
786	2740	741
787	2744	738
788	2747	734
789	2752	731
790	2756	728
791	2760	724
792	2765	721
793	2769	718
794	2773	715
795	2777	711
796	2782	708
797	2786	705
798	2790	701
799	2794	698
800	2798	695
801	2802	691
802	2806	688
803	2809	684
804	2814	681
805	2818	678
806	2822	674
807	2825	671
808	2829	668
809	2833	664
810	2837	661
811	2840	657
812	2844	654
813	2848	650
814	2852	647
815	2856	644
816	2861	640
817	2865	637
818	2868	634
819	2872	630
820	2876	627
821	2880	623
822	2883	620
823	2887	616
824	2891	613
825	2895	609
826	2899	606
827	2902	602
828	2906	599
829	2909	596
830	2913	592
831	2916	588
832	2920	585
833	2924	582
834	2927	578
835	2931	575
836	2934	571
837	2939	568
838	2943	564
839	2947	561
840	2950	557
841	2955	554
842	2958	551
843	2962	547
844	2965	543
845	2970	540
846	2973	537
847	2976	533
848	2980	530
849	2984	526
850	2987	523
851	2991	519
852	2994	516
853	2997	512
854	3001	508
855	3004	505
856	3007	501
857	3011	498
858	3015	494
859	3019	491
860	3022	487
861	3025	484
862	3029	480
863	3032	477
864	3035	473
865	3039	470
866	3042	466
867	3046	463
868	3049	459
869	3052	456
870	3056	452
871	3059	449
872	3063	445
873	3066	442
874	3070	438
875	3073	435
876	3077	431
877	3081	428
878	3084	424
879	3088	421
880	3092	417
881	3095	414
882	3099	410
883	3102	407
884	3106	403
885	3109	400
886	3112	396
887	3116	393
888	3120	389
889	3123	386
890	3127	382
891	3130	379
892	3134	375
893	3137	372
894	3142	368
895	3145	365
896	3149	361
897	3152	358
898	3156	354
899	3159	351
900	3163	347
901	3167	344
902	3170	340
903	3174	337
904	3177	333
905	3181	330
906	3184	326
907	3188	323
908	3192	319
909	3195	316
910	3198	312
911	3202	309
